mapping_source_table,table_name,etl_prefix,source_code,vocabulary_id,target_concept_id,ontology_concept_name
gcpt_drug_ndc,prescriptions,NDC/,61553094202,RxNorm/5224,1367571,heparin
gcpt_drug_ndc,prescriptions,NDC/,00024414260,RxNorm/854856,40163617,dronedarone 400 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,51672207501,RxNorm/370982,40014637,bacitracin Topical Ointment
gcpt_drug_ndc,prescriptions,NDC/,54569523500,RxNorm/834135,1790985,chlorhexidine gluconate 1.2 MG/ML Mouthwash [Peridex]
gcpt_drug_ndc,prescriptions,NDC/,00409909335,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,00026848858,RxNorm/597747,1363389,sorafenib 200 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,42023019210,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00085132801,RxNorm/665019,19125036,posaconazole 40 MG/ML Oral Suspension
gcpt_drug_ndc,prescriptions,NDC/,58468008001,RxNorm/1011,19136207,"lymphocyte immune globulin, anti-thymocyte globulin"
gcpt_drug_ndc,prescriptions,NDC/,00186037220,RxNorm/1246305,42706348,budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT [Symbicort]
gcpt_drug_ndc,prescriptions,NDC/,63323036019,RxNorm/315546,19037093,calcium gluconate 100 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00143125401,RxNorm/208816,19039743,hydrocortisone 20 MG Oral Tablet [Cortef]
gcpt_drug_ndc,prescriptions,NDC/,61553008348,RxNorm/2117608,1366754,100 ML calcium gluconate 20 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,55150020830,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00008092355,RxNorm/330396,19085107,pantoprazole 40 MG
gcpt_drug_ndc,prescriptions,NDC/,00338004938,RxNorm/1807632,40221385,100 ML sodium chloride 9 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,65847020525,RxNorm/1738340,35604554,nesiritide 1.5 MG
gcpt_drug_ndc,prescriptions,NDC/,00186502228,RxNorm/574983,19005696,esomeprazole 40 MG [Nexium]
gcpt_drug_ndc,prescriptions,NDC/,00009001104,RxNorm/5492,975125,hydrocortisone
gcpt_drug_ndc,prescriptions,NDC/,00338051141,RxNorm/1596450,45892419,gentamicin
gcpt_drug_ndc,prescriptions,NDC/,00409610210,RxNorm/317376,957140,furosemide 10 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00168001135,RxNorm/370982,40014637,bacitracin Topical Ointment
gcpt_drug_ndc,prescriptions,NDC/,36000028425,RxNorm/317376,957140,furosemide 10 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,50419048858,RxNorm/597747,1363389,sorafenib 200 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,63323050830,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00781340895,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,00006353750,RxNorm/315921,953120,famotidine 20 MG
gcpt_drug_ndc,prescriptions,NDC/,55390016110,RxNorm/7617,1522957,octreotide
gcpt_drug_ndc,prescriptions,NDC/,00009090020,RxNorm/5492,975125,hydrocortisone
gcpt_drug_ndc,prescriptions,NDC/,00517571025,RxNorm/317376,957140,furosemide 10 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,55150032425,RxNorm/317376,957140,furosemide 10 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00409148402,RxNorm/4917,1361711,nitroglycerin
gcpt_drug_ndc,prescriptions,NDC/,63323037601,RxNorm/7617,1522957,octreotide
gcpt_drug_ndc,prescriptions,NDC/,00781940895,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,00009001103,RxNorm/5492,975125,hydrocortisone
gcpt_drug_ndc,prescriptions,NDC/,64679063302,RxNorm/7617,1522957,octreotide
gcpt_drug_ndc,prescriptions,NDC/,00087565041,RxNorm/751616,1314612,nebivolol 10 MG Oral Tablet [Bystolic]
gcpt_drug_ndc,prescriptions,NDC/,00338050941,RxNorm/1596450,45892419,gentamicin
gcpt_drug_ndc,prescriptions,NDC/,68734070010,RxNorm/211777,1147880,zileuton 600 MG Oral Tablet [Zyflo]
gcpt_drug_ndc,prescriptions,NDC/,00904598061,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00009001201,RxNorm/208680,19039286,hydrocortisone 5 MG Oral Tablet [Cortef]
gcpt_drug_ndc,prescriptions,NDC/,00409798437,RxNorm/1807632,40221385,100 ML sodium chloride 9 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,00093578656,RxNorm/485434,1711248,entecavir 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,44567062124,RxNorm/2117608,1366754,100 ML calcium gluconate 20 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,10019003473,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,61553005148,RxNorm/2117608,1366754,100 ML calcium gluconate 20 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,00074444005,RxNorm/643068,19124373,efavirenz 600 MG / emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG [Atripla]
gcpt_drug_ndc,prescriptions,NDC/,00703331104,RxNorm/7617,1522957,octreotide
gcpt_drug_ndc,prescriptions,NDC/,63323031110,RxNorm/315546,19037093,calcium gluconate 100 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,10019003372,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,61553094102,RxNorm/5224,1367571,heparin
gcpt_drug_ndc,prescriptions,NDC/,69315090401,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,63323007620,RxNorm/333172,19076420,potassium acetate 2 MEQ/ML
gcpt_drug_ndc,prescriptions,NDC/,00338105102,RxNorm/4917,1361711,nitroglycerin
gcpt_drug_ndc,prescriptions,NDC/,00143988125,RxNorm/855888,40163243,phenytoin sodium 50 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,59148002150,RxNorm/849833,19036832,tolvaptan 30 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,44567062101,RxNorm/2117608,1366754,100 ML calcium gluconate 20 MG/ML Injection
gcpt_drug_ndc,prescriptions,NDC/,50242006401,RxNorm/1088253,40236071,erlotinib 150 MG Oral Tablet [Tarceva]
gcpt_drug_ndc,prescriptions,NDC/,00310032165,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,51079041720,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,63323031119,RxNorm/315546,19037093,calcium gluconate 100 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,49884010411,RxNorm/485434,1711248,entecavir 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00143988225,RxNorm/855888,40163243,phenytoin sodium 50 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,61553020648,RxNorm/2277371,37498700,hydromorphone hydrochloride 0.2 MG/ML Prefilled Syringe
gcpt_drug_ndc,prescriptions,NDC/,25021013720,RxNorm/733,1717327,ampicillin
gcpt_drug_ndc,prescriptions,NDC/,63323050831,RxNorm/1722938,35606005,meropenem 1000 MG
gcpt_drug_ndc,prescriptions,NDC/,00409131701,RxNorm/855888,40163243,phenytoin sodium 50 MG/ML
gcpt_drug_ndc,prescriptions,NDC/,00904600761,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,65862084130,RxNorm/485434,1711248,entecavir 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00338519741,RxNorm/315921,953120,famotidine 20 MG
gcpt_drug_ndc,prescriptions,NDC/,00409909425,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,NDC/,63739049910,RxNorm/197900,19019112,lorazepam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,NDC/,00641603001,RxNorm/4337,1154029,fentanyl
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Nascobal,RxNorm/861115,40165411,vitamin B12 0.5 MG/ACTUAT Nasal Spray [Nascobal]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Budesonide (Nasal),RxNorm/358545,939422,budesonide 0.5 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Betamethasone,RxNorm/358481,920869,betamethasone 0.25 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Concerta (methylphenidate),RxNorm/1091211,40236493,methylphenidate hydrochloride 54 MG [Concerta]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,NAC (N-acetyl-L-cysteine,RxNorm/437279,1139058,acetylcysteine 600 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Flarex,RxNorm/1249631,42708921,fluorometholone acetate 1 MG/ML Ophthalmic Suspension [Flarex]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Acular LS,RxNorm/860105,40164856,ketorolac tromethamine 4 MG/ML Ophthalmic Solution [Acular]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Lumigan 0.01%,RxNorm/1009340,40226431,bimatoprost 0.1 MG/ML [Lumigan]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Synthroid,RxNorm/966201,40175059,levothyroxine sodium 0.15 MG Oral Tablet [Synthroid]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Aygestin,RxNorm/1000407,40224823,norethindrone acetate 5 MG Oral Tablet [Aygestin]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Xenazine,RxNorm/805462,19131890,tetrabenazine 25 MG Oral Tablet [Xenazine]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Dulera (mometasone-formoterol) 200-5mcg/actuation,RxNorm/1359716,42902603,formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.2 MG/ACTUAT Metered Dose Inhaler [Dulera]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Tylenol Arthritis,RxNorm/646457,19042362,acetaminophen 650 MG [Tylenol]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Premarin,RxNorm/688242,1549218,"estrogens, conjugated (USP) 0.625 MG/ML Vaginal Cream [Premarin]"
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,HYDROmorphone Solution,RxNorm/3423,1126658,hydromorphone
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Prozac,RxNorm/563783,19080281,fluoxetine 20 MG [Prozac]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Zytiga (Abiraterone) ,RxNorm/1100077,40239062,abiraterone acetate 250 MG [Zytiga]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,LaMICtal (Brand Name),RxNorm/567066,19118045,lamotrigine 150 MG [Lamictal]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Levalbuterol Neb,RxNorm/346138,1192244,levalbuterol 0.417 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Syringe (0.9% Sodium Chloride),RxNorm/727633,40141424,sodium chloride Prefilled Syringe
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,creatine ,RxNorm/2907,19071967,creatine
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Saccharomyces BOULARDII,RxNorm/236782,991855,Saccharomyces boulardii
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Alprazolam,RxNorm/308048,19072934,alprazolam 0.5 MG Oral Tablet
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,RozEREM (ramelteon),RxNorm/603161,40130130,ramelteon Oral Tablet [Rozerem]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,sodium citrate-citric acid,RxNorm/543014,19114106,citric acid 66.8 MG/ML / sodium citrate 100 MG/ML Oral Solution
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,fluticasone,RxNorm/1360333,42903220,fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Singulair,RxNorm/565420,19117210,montelukast 10 MG [Singulair]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,TRAVATAN Z,RxNorm/285032,19071741,travoprost 0.04 MG/ML Ophthalmic Solution [Travatan]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Telbivudine,RxNorm/665120,19125088,telbivudine 600 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,sunitinib,RxNorm/616289,1336627,sunitinib 50 MG Oral Capsule
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Olmesartan,RxNorm/349405,19096752,olmesartan medoxomil 40 MG Oral Tablet
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Keppra,RxNorm/574555,19099448,levetiracetam 250 MG [Keppra]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Humira,RxNorm/576023,19121015,adalimumab 50 MG/ML [Humira]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Zegerid OTC,RxNorm/646342,19091798,omeprazole 20 MG / sodium bicarbonate 1100 MG [Zegerid Reformulated Aug 2006]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Xanax,RxNorm/141928,781041,alprazolam 0.5 MG Oral Tablet [Xanax]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Apriso,RxNorm/845157,19134964,mesalamine 375 MG Extended Release Oral Capsule [Apriso]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Tykerb,RxNorm/672150,19125317,lapatinib 250 MG [Tykerb]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Flovent HFA,RxNorm/1359613,42902500,fluticasone propionate 0.22 MG/ACTUAT Metered Dose Inhaler [Flovent]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Beclomethasone Dipro. AQ (Nasal),RxNorm/966544,40173730,beclomethasone dipropionate 0.042 MG/ACTUAT
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Creon 20,RxNorm/863963,40166157,amylase / lipase / protease Oral Capsule [Creon]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Zyflo CR,RxNorm/211777,1147880,zileuton 600 MG Oral Tablet [Zyflo]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Ketorolac,RxNorm/35827,1136980,ketorolac
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Sodium Chloride 0.45% Flush,RxNorm/727633,40141424,sodium chloride Prefilled Syringe
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,thyroid,RxNorm/331518,1501576,thyroid (USP) 8 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Benicar HCT,RxNorm/847053,19135230,hydrochlorothiazide 12.5 MG / olmesartan medoxomil 40 MG [Benicar HCT]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,solifenacin,RxNorm/477372,916008,solifenacin succinate 10 MG Oral Tablet
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,dutasteride,RxNorm/351172,989485,dutasteride 0.5 MG Oral Capsule
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,rivastigmine,RxNorm/183379,733523,rivastigmine
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Azopt,RxNorm/213272,938045,brinzolamide 10 MG/ML Ophthalmic Suspension [Azopt]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,orphenadrine citrate,RxNorm/1740452,35605475,orphenadrine citrate 30 MG/ML Injection
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Namenda,RxNorm/996562,40222836,memantine hydrochloride 10 MG [Namenda]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Vytorin 10-20,RxNorm/1245426,42706204,ezetimibe 10 MG / simvastatin 20 MG [Vytorin]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Nexium 40mg capsules,RxNorm/574983,19005696,esomeprazole 40 MG [Nexium]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Cosyntropin,RxNorm/2890,19008009,cosyntropin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Ipratropium Bromide,RxNorm/7213,1112921,ipratropium
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,creatine monohydrate,RxNorm/2907,19071967,creatine
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Pimozide,RxNorm/8331,745790,pimozide
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,amphotericin B (bulk),RxNorm/42527,952045,amphotericin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Novolog,RxNorm/575679,19005729,"insulin aspart, human 100 UNT/ML [NovoLog]"
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Prempro,RxNorm/1036882,40228334,"estrogens, conjugated (USP) 0.625 MG / medroxyprogesterone acetate 2.5 MG [Prempro]"
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Systane,RxNorm Extension/OMOP1113321,44118690,Polyethylene Glycol 400 0.004 MG/ML / Propylene glycol 0.003 MG/ML [Systane]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Cosyntropin ,RxNorm/2890,19008009,cosyntropin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Exelon Transdermal Patch,RxNorm/725104,19127050,rivastigmine 0.396 MG/HR [Exelon]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,docosanol,RxNorm/797532,980956,docosanol 100 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Prometrium,RxNorm/262080,19068730,progesterone 100 MG Oral Capsule [Prometrium]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Foradil Aerolizer,RxNorm/1246328,42708524,formoterol fumarate 0.012 MG Inhalation Powder [Foradil]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,HYDROmorphone (Dilaudid),RxNorm/3423,1126658,hydromorphone
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,vancoMYCIN for nasal inhalation,RxNorm/11124,1707687,vancomycin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Vexol,RxNorm/568209,19118409,rimexolone 10 MG/ML [Vexol]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Travoprost,RxNorm/333557,904524,travoprost 0.04 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Stalevo 100,RxNorm/404552,19102817,carbidopa 25 MG / entacapone 200 MG / levodopa 100 MG Oral Tablet [Stalevo]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Zaditor (Ketotifen fumarate),RxNorm/574827,19100323,ketotifen 0.25 MG/ML [Zaditor]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Astepro,RxNorm/1797884,36250116,azelastine hydrochloride 0.206 MG/ACTUAT Metered Dose Nasal Spray [Astepro]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Ertapenem,RxNorm/325642,1717963,ertapenem
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Klonopin,RxNorm/206157,19031562,clonazepam 0.5 MG Oral Tablet [Klonopin]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Morphine Sulfate,RxNorm/7052,1110410,morphine
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Sevelamer carbonate (Renvela),RxNorm/1812615,1718125,sevelamer Powder for Oral Suspension [Renvela]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Miglitol,RxNorm/205329,19029029,miglitol 25 MG Oral Tablet
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Os-Cal 500 + D,RxNorm/1243405,42708126,calcium carbonate 1250 MG / cholecalciferol 0.01 MG Chewable Tablet [Os-Cal 500 with D]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Aerobid,RxNorm/1359612,42902499,flunisolide 0.25 MG/ACTUAT Metered Dose Inhaler [AeroBid]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Actonel,RxNorm/905026,40174495,risedronate sodium 35 MG Oral Tablet [Actonel]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Iquix,RxNorm/545120,19114670,levofloxacin 15 MG/ML [Iquix]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Ethanol (Ethyl Alcohol),RxNorm/448,955372,ethanol
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Mirapex ER(pramipexole),RxNorm/859049,40165183,pramipexole dihydrochloride 1.5 MG [Mirapex]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,vancoMYCIN for inhalation,RxNorm/11124,1707687,vancomycin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Uloric,RxNorm/834243,19017748,febuxostat 80 MG Oral Tablet [Uloric]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Sunitinib,RxNorm/616289,1336627,sunitinib 50 MG Oral Capsule
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Avodart  0.5MG,RxNorm/575856,19031909,dutasteride 0.5 MG [Avodart]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,nepafenac,RxNorm/578044,19121303,nepafenac 1 MG/ML Ophthalmic Suspension
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Verelan PM,RxNorm/897585,40171845,verapamil hydrochloride 100 MG [Verelan]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Papain 2.5 % Solution,RxNorm/545102,19114661,papain 26.5 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Nature-Throid,RxNorm/728586,19033726,thyroid (USP) 32.5 MG [Nature-Throid]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Insulin Detemir,RxNorm/484320,19112694,insulin detemir 100 UNT/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,ofloxacin,RxNorm/7623,923081,ofloxacin
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,exenatide,RxNorm/60548,1583722,exenatide
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,insulin detemir,RxNorm/484320,19112694,insulin detemir 100 UNT/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Ketorolac Tromethamine,RxNorm/860102,40164854,ketorolac tromethamine 4 MG/ML
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Symbicort 160-4.5mcg,RxNorm/1246305,42706348,budesonide 0.16 MG/ACTUAT / formoterol fumarate 0.0045 MG/ACTUAT [Symbicort]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Tyzeka (Telbivudine),RxNorm/668689,19004157,telbivudine 600 MG [Tyzeka]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Zantac 75,RxNorm/827181,19023020,ranitidine 75 MG [Zantac]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Coenzyme Q10,RxNorm/700854,19125733,ubidecarenone 400 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,octreotide LAR 10mg depot,RxNorm/1359960,42902847,octreotide 0.1 MG/ML Prefilled Syringe
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Halcion,RxNorm/569344,19088619,triazolam 0.25 MG [Halcion]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Tylenol Arthritis Pain,RxNorm/369070,40005791,acetaminophen Oral Tablet [Tylenol]
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,chlorzoxazone,RxNorm/315657,795153,chlorzoxazone 500 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,lysine 500mg tablets,RxNorm/198735,19092378,lysine 500 MG Oral Tablet
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,Simvastatin,RxNorm/316673,1539465,simvastatin 20 MG
gcpt_drug_ndc,prescriptions,MIMIC_IV_Drug/,pyridostigmine,RxNorm/373706,40075183,pyridostigmine Oral Tablet
