mapping_source_table,source_code,vocabulary_id,target_concept_id,ontology_concept_name
gcpt_meas_lab_loinc_mod,50892,LOINC/10334-1,3037551,Cancer Ag 125 [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50893,LOINC/17861-6,3006906,Calcium [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50896,LOINC/32215-6,3000551,Thyroxine (T4) free index in Serum or Plasma by calculation
gcpt_meas_lab_loinc_mod,50898,LOINC/17842-6,3013520,Cancer Ag 27-29 [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50899,LOINC/3432-2,3028639,carBAMazepine [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50900,LOINC/2039-6,3003785,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50901,LOINC/16137-2,3014825,Centromere Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50902,LOINC/2075-0,3014576,Chloride [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50903,LOINC/9830-1,3011163,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50904,LOINC/2085-9,3007070,Cholesterol in HDL [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50905,LOINC/13457-7,3028288,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
gcpt_meas_lab_loinc_mod,50906,LOINC/18262-6,3009966,Cholesterol in LDL [Mass/volume] in Serum or Plasma by Direct assay
gcpt_meas_lab_loinc_mod,50907,LOINC/2093-3,3027114,Cholesterol [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50908,LOINC/49136-5,3048863,Creatine kinase.MB/Creatine kinase.total [Ratio] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50909,LOINC/2143-6,3009682,Cortisol [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50910,LOINC/2157-6,3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50911,LOINC/13969-1,3005785,Creatine kinase.MB [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50912,LOINC/2160-0,3016723,Creatinine [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50913,LOINC/5117-7,3021322,Cryoglobulin [Presence] in Serum
gcpt_meas_lab_loinc_mod,50914,LOINC/3520-4,3010375,cycloSPORINE [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50915,LOINC/48065-7,3051714,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma
gcpt_meas_lab_loinc_mod,50916,LOINC/2191-5,3015884,Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50917,LOINC/10535-3,3011335,Digoxin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50918,LOINC/31348-6,3012718,DNA double strand Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50920,LOINC/77147-7,46236952,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)"
gcpt_meas_lab_loinc_mod,50921,LOINC/2243-4,3025285,Estradiol (E2) [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50922,LOINC/5640-8,3025643,Ethanol [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50924,LOINC/2276-4,3001122,Ferritin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50925,LOINC/2284-8,3036987,Folate [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50926,LOINC/15067-2,3023323,Follitropin [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50927,LOINC/2324-2,3026910,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50928,LOINC/2333-3,3009927,Gastrin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50929,LOINC/35668-3,3035510,Gentamicin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50930,LOINC/2336-6,3021886,Globulin [Mass/volume] in Serum
gcpt_meas_lab_loinc_mod,50931,LOINC/2345-7,3004501,Glucose [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50935,LOINC/4542-7,3012336,Haptoglobin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50936,LOINC/19080-1,3018171,Choriogonadotropin [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50937,LOINC/13951-9,3035456,Hepatitis A virus Ab [Presence] in Serum by Immunoassay
gcpt_meas_lab_loinc_mod,50938,LOINC/22314-9,3013327,Hepatitis A virus IgM Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50939,LOINC/31204-1,3013527,Hepatitis B virus core IgM Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50940,LOINC/22322-2,3017797,Hepatitis B virus surface Ab [Presence] in Serum
gcpt_meas_lab_loinc_mod,50941,LOINC/5196-1,3019510,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay
gcpt_meas_lab_loinc_mod,50942,LOINC/13952-7,3036282,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay
gcpt_meas_lab_loinc_mod,50943,LOINC/13955-0,3013801,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay
gcpt_meas_lab_loinc_mod,50945,LOINC/13965-9,3016724,Homocysteine [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50946,LOINC/19080-1,3018171,Choriogonadotropin [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50948,LOINC/25700-6,3037756,Immunofixation for Serum or Plasma
gcpt_meas_lab_loinc_mod,50949,LOINC/2458-8,3007164,IgA [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50950,LOINC/2465-3,3005719,IgG [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50951,LOINC/2472-9,3028026,IgM [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50952,LOINC/2498-4,3002400,Iron [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50953,LOINC/2500-7,3021044,Iron binding capacity [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50954,LOINC/2532-0,3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50956,LOINC/3040-3,3004905,Lipase [Enzymatic activity/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50957,LOINC/14334-7,3024666,"Lithium, Blood [Moles/volume] in Serum or Plasma"
gcpt_meas_lab_loinc_mod,50958,LOINC/10501-5,3009214,Lutropin [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50960,LOINC/19123-9,3001420,Magnesium [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50961,LOINC/14836-1,3017115,Methotrexate [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50963,LOINC/33762-6,3029187,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50964,LOINC/2692-2,3008295,Osmolality of Serum or Plasma
gcpt_meas_lab_loinc_mod,50965,LOINC/2731-8,3000067,Parathyrin.intact [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50966,LOINC/3948-7,3025411,PHENobarbital [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50967,LOINC/3968-5,3022616,Phenytoin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50970,LOINC/2777-1,3011904,Phosphate [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50971,LOINC/2823-3,3023103,Potassium [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50973,LOINC/2842-3,3004722,Prolactin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50974,LOINC/2857-1,3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50975,LOINC/12851-2,3035956,Protein Fractions [Interpretation] in Serum or Plasma by Electrophoresis
gcpt_meas_lab_loinc_mod,50976,LOINC/2885-2,3020630,Protein [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50978,LOINC/29247-4,3021374,Sirolimus [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50980,LOINC/11572-5,3021614,Rheumatoid factor [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50981,LOINC/4024-6,3000787,Salicylates [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50982,LOINC/13967-5,3004248,Sex hormone binding globulin [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50983,LOINC/2951-2,3019550,Sodium [Moles/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50986,LOINC/11253-2,3026250,Tacrolimus [Mass/volume] in Blood
gcpt_meas_lab_loinc_mod,50988,LOINC/2986-8,3008893,Testosterone [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50989,LOINC/2991-8,3016049,Testosterone Free [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50990,LOINC/4049-3,3016072,Theophylline [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50991,LOINC/3013-0,3036535,Thyroglobulin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50992,LOINC/8099-4,3027238,Thyroperoxidase Ab [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50993,LOINC/3016-3,3009201,Thyrotropin [Units/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50994,LOINC/3026-2,3016991,Thyroxine (T4) [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50995,LOINC/3024-7,3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50996,LOINC/31017-7,3019050,Tissue transglutaminase IgA Ab [Units/volume] in Serum
gcpt_meas_lab_loinc_mod,50997,LOINC/35670-9,3035509,Tobramycin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,50998,LOINC/3034-6,3004789,Transferrin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51000,LOINC/2571-8,3022192,Triglyceride [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51001,LOINC/3053-6,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51002,LOINC/10839-9,3021337,Troponin I.cardiac [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51003,LOINC/6598-7,3019800,Troponin T.cardiac [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51005,LOINC/3050-2,3021717,Triiodothyronine resin uptake (T3RU) in Serum or Plasma
gcpt_meas_lab_loinc_mod,51006,LOINC/3094-0,3013682,Urea nitrogen [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51007,LOINC/3084-1,3037556,Urate [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51008,LOINC/4086-5,3016201,Valproate [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51009,LOINC/20578-1,3005715,Vancomycin [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51010,LOINC/2132-9,3000593,Cobalamin (Vitamin B12) [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51022,LOINC/2348-1,3001978,Glucose [Mass/volume] in Synovial fluid
gcpt_meas_lab_loinc_mod,51024,LOINC/2886-0,3036670,Protein [Mass/volume] in Synovial fluid
gcpt_meas_lab_loinc_mod,51025,LOINC/1747-5,3025313,Albumin [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51026,LOINC/1795-4,3012133,Amylase [Enzymatic activity/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51028,LOINC/1974-5,3028193,Bilirubin.total [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51030,LOINC/2072-7,3013194,Chloride [Moles/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51031,LOINC/12183-0,3015232,Cholesterol [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51032,LOINC/12190-5,3016662,Creatinine [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51033,LOINC/20404-0,3036848,Fibronectin.fetal [Presence] in Vaginal fluid
gcpt_meas_lab_loinc_mod,51034,LOINC/2344-0,3019210,Glucose [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51035,LOINC/2529-6,3008338,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51036,LOINC/15212-4,3026286,Lipase [Enzymatic activity/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51043,LOINC/2881-1,3005029,Protein [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51044,LOINC/12228-3,3000637,Triglyceride [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51045,LOINC/3093-2,3019930,Urea nitrogen [Mass/volume] in Body fluid
gcpt_meas_lab_loinc_mod,51047,LOINC/1796-2,3015401,Amylase [Enzymatic activity/volume] in Pleural fluid
gcpt_meas_lab_loinc_mod,51053,LOINC/2346-5,3003403,Glucose [Mass/volume] in Pleural fluid
gcpt_meas_lab_loinc_mod,51059,LOINC/2882-9,3003434,Protein [Mass/volume] in Pleural fluid
gcpt_meas_lab_loinc_mod,51060,LOINC/9619-8,3034207,Triglyceride [Mass/volume] in Pleural fluid
gcpt_meas_lab_loinc_mod,51061,LOINC/22735-5,3014637,Bicarbonate [Moles/volume] in Specimen
gcpt_meas_lab_loinc_mod,51063,LOINC/2693-0,3007256,Osmolality of Stool
gcpt_meas_lab_loinc_mod,51064,LOINC/15202-5,3005819,Potassium [Moles/volume] in Stool
gcpt_meas_lab_loinc_mod,51065,LOINC/15207-4,3011846,Sodium [Moles/volume] in Stool
gcpt_meas_lab_loinc_mod,51066,LOINC/6874-2,3007687,Calcium [Mass/time] in 24 hour Urine
gcpt_meas_lab_loinc_mod,51067,LOINC/2162-6,3004239,Creatinine [Mass/time] in 24 hour Urine
gcpt_meas_lab_loinc_mod,51068,LOINC/2889-4,3020876,Protein [Mass/time] in 24 hour Urine
gcpt_meas_lab_loinc_mod,51069,LOINC/14957-5,3000034,Microalbumin [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51071,LOINC/19343-3,3000144,Amphetamine [Presence] in Urine by Screen method
gcpt_meas_lab_loinc_mod,51074,LOINC/19270-8,3005058,Barbiturates [Presence] in Urine by Screen method
gcpt_meas_lab_loinc_mod,51075,LOINC/14316-4,3007682,Benzodiazepines [Presence] in Urine by Screen method
gcpt_meas_lab_loinc_mod,51077,LOINC/17862-4,3006661,Calcium [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51078,LOINC/2078-4,3007733,Chloride [Moles/volume] in Urine
gcpt_meas_lab_loinc_mod,51080,LOINC/2164-2,3005770,Creatinine renal clearance in 24 hour Urine and Serum or Plasma
gcpt_meas_lab_loinc_mod,51081,LOINC/2160-0,3016723,Creatinine [Mass/volume] in Serum or Plasma
gcpt_meas_lab_loinc_mod,51082,LOINC/2161-8,3017250,Creatinine [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51083,LOINC/5644-0,3010109,Ethanol [Presence] in Urine
gcpt_meas_lab_loinc_mod,51084,LOINC/2350-7,3020399,Glucose [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51085,LOINC/2106-3,3018954,Choriogonadotropin (pregnancy test) [Presence] in Urine
gcpt_meas_lab_loinc_mod,51086,LOINC/13440-3,3017704,Immunofixation for Urine
gcpt_meas_lab_loinc_mod,51087,LOINC/13362-9,3016750,Collection duration of Urine
gcpt_meas_lab_loinc_mod,51088,LOINC/19124-7,3019738,Magnesium [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51089,LOINC/3426-4,3028064,Tetrahydrocannabinol [Presence] in Urine
gcpt_meas_lab_loinc_mod,51090,LOINC/3773-9,3036180,Methadone [Presence] in Urine
gcpt_meas_lab_loinc_mod,51091,LOINC/2640-1,3011470,Myoglobin [Presence] in Urine
gcpt_meas_lab_loinc_mod,51092,LOINC/19295-5,3015208,Opiates [Presence] in Urine by Screen method
gcpt_meas_lab_loinc_mod,51093,LOINC/2695-5,3026782,Osmolality of Urine
gcpt_meas_lab_loinc_mod,51094,LOINC/2756-5,3015736,pH of Urine
gcpt_meas_lab_loinc_mod,51095,LOINC/2778-9,3026729,Phosphate [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51096,LOINC/2809-2,3034719,Porphobilinogen [Presence] in Urine
gcpt_meas_lab_loinc_mod,51097,LOINC/2828-2,3016038,Potassium [Moles/volume] in Urine
gcpt_meas_lab_loinc_mod,51099,LOINC/2890-2,3001582,Protein/Creatinine [Mass Ratio] in Urine
gcpt_meas_lab_loinc_mod,51100,LOINC/2955-3,3003181,Sodium [Moles/volume] in Urine
gcpt_meas_lab_loinc_mod,51101,LOINC/13362-9,3016750,Collection duration of Urine
gcpt_meas_lab_loinc_mod,51102,LOINC/2888-6,3037121,Protein [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51104,LOINC/3095-7,3011965,Urea nitrogen [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51105,LOINC/3086-6,3033526,Urate [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51106,LOINC/2161-8,3017250,Creatinine [Mass/volume] in Urine
gcpt_meas_lab_loinc_mod,51130,LOINC/8122-4,3011412,CD3 cells [#/volume] in Blood
gcpt_meas_lab_loinc_mod,51131,LOINC/24467-3,3028167,CD3+CD4+ (T4 helper) cells [#/volume] in Blood
gcpt_meas_lab_loinc_mod,51132,LOINC/14135-8,3001405,CD3+CD8+ (T8 suppressor) cells [#/volume] in Blood
gcpt_meas_lab_loinc_mod,51133,LOINC/731-0,3004327,Lymphocytes [#/volume] in Blood by Automated count
gcpt_meas_lab_loinc_mod,51138,LOINC/3181-5,3009041,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay
gcpt_meas_lab_loinc_mod,51139,LOINC/3182-3,3015813,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay
gcpt_meas_lab_loinc_mod,51140,LOINC/27811-9,3000515,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method
gcpt_meas_lab_loinc_mod,51143,LOINC/13046-8,3013498,Variant lymphocytes/100 leukocytes in Blood
gcpt_meas_lab_loinc_mod,51144,LOINC/26508-2,3004809,Band form neutrophils/100 leukocytes in Blood
